A,B,C
2018?9?20?,0.74,-1.07%
2018?9?19?,0.748,1.08%
2018?9?18?,0.74,2.35%
2018?9?17?,0.723,-0.69%
2018?9?14?,0.728,-4.08%
2018?9?13?,0.759,1.07%
2018?9?12?,0.751,-1.44%
2018?9?11?,0.762,0.93%
2018?9?10?,0.755,-3.45%
2018?9?7?,0.782,-5.56%
2018?9?6?,0.828,0.61%
2018?9?5?,0.823,-1.91%
2018?9?4?,0.839,2.07%
2018?9?3?,0.822,1.86%
2018?8?31?,0.807,-0.25%
2018?8?30?,0.809,-2.65%
2018?8?29?,0.831,-0.48%
2018?8?28?,0.835,0.85%
2018?8?27?,0.828,2.60%
2018?8?24?,0.807,-0.37%
2018?8?23?,0.81,3.32%
2018?8?22?,0.784,-1.88%
2018?8?21?,0.799,-0.25%
2018?8?20?,0.801,2.82%
2018?8?17?,0.779,-2.26%
2018?8?16?,0.797,-2.09%
2018?8?15?,0.814,-1.45%
2018?8?14?,0.826,-2.48%
2018?8?13?,0.847,3.42%
2018?8?10?,0.819,2.25%
